Player,Nation,Pos,Age,MP,Playing Time_Starts,Min,Playing Time_90s,Gls,Ast,G+A,Performance_G-PK,Performance_PK,Performance_PKatt,CrdY,CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 21_level_0_Matches
José Paradela,ar ARG,"MF,FW",27-086,27.0,27,2063.0,22.9,8.0,6.0,14.0,8,0,1,3,0,0.35,0.26,0.61,0.35,0.61,Matches
Willer Ditta,co COL,DF,29-047,27.0,26,2362.0,26.2,0.0,0.0,0.0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
Erik Lira,mx MEX,"DF,MF",25-307,26.0,24,2128.0,23.6,0.0,0.0,0.0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Rotondi,ar ARG,"MF,DF",28-364,25.0,23,2007.0,22.3,4.0,4.0,8.0,4,0,1,4,0,0.18,0.18,0.36,0.18,0.36,Matches
Gonzalo Piovi,ar ARG,DF,31-184,23.0,23,1976.0,22.0,0.0,2.0,2.0,0,0,0,7,0,0.00,0.09,0.09,0.00,0.09,Matches
Charly Rodríguez,mx MEX,"MF,FW",29-067,27.0,23,1933.0,21.5,5.0,4.0,9.0,5,0,0,4,0,0.23,0.19,0.42,0.23,0.42,Matches
Kevin Mier,co COL,GK,25-297,16.0,16,1394.0,15.5,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Fernández,uy URU,FW,31-302,21.0,15,1366.0,15.2,10.0,5.0,15.0,9,1,1,0,1,0.66,0.33,0.99,0.59,0.92,Matches
Jorge Eduardo Sánchez,mx MEX,"MF,DF",28-091,16.0,14,1228.0,13.6,0.0,1.0,1.0,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches
Jeremy Márquez,mx MEX,MF,25-263,23.0,14,1168.0,13.0,3.0,0.0,3.0,3,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches
Luka Romero,ar ARG,MF,21-113,25.0,12,1049.0,11.7,2.0,2.0,4.0,2,0,0,2,1,0.17,0.17,0.34,0.17,0.34,Matches
